ymd,last_date,event_most_recent,v_max,v_min,transaction_count,med_delta_t,cum_time,recency
2022-04-13,2022-04-13 14:09:58,2022-04-13 14:08:58,198.0,184.38,83,1.0000000000000002,4980s,1.0000000000000002
2022-04-01,2022-04-01 23:59:31,2022-04-01 20:42:38,198.0,189.08,40,1.0000000000000002,2400s,196.88333333333333
2022-04-02,2022-04-02 23:59:38,2022-04-02 20:35:53,197.94,197.54,3,1.0000000000000002,180s,203.75
2022-04-03,2022-04-03 23:59:43,2022-04-03 22:24:22,197.84,188.26,27,1.0000000000000002,1620s,95.35
2022-04-04,2022-04-04 23:49:31,2022-04-04 21:25:24,197.82,185.83,12,1.0000000000000002,720s,144.11666666666667
2022-04-05,2022-04-05 23:59:01,2022-04-05 22:02:34,197.65,197.65,1,2.0000000000000004,60s,116.45
2022-04-06,2022-04-06 22:33:30,2022-04-06 22:30:29,197.99,184.92,23,1.0000000000000002,1380s,3.0166666666666666
2022-04-07,2022-04-07 23:59:01,2022-04-07 23:59:01,197.93,194.05,12,1.0000000000000002,720s,0.0
2022-04-08,2022-04-08 22:03:11,2022-04-08 00:11:04,197.76,196.31,3,1.0000000000000002,180s,1312.1166666666666
2022-04-09,2022-04-09 23:59:01,2022-04-09 20:39:11,197.13,196.96,3,1.0000000000000002,180s,199.83333333333334
2022-04-10,2022-04-10 23:59:10,2022-04-10 17:34:30,197.61,197.61,1,1.0166666666666668,60s,384.6666666666667
2022-04-11,2022-04-11 10:55:00,2022-04-11 05:52:35,190.29,190.29,1,1.0166666666666668,60s,302.4166666666667
2022-04-12,2022-04-12 23:59:39,2022-04-12 21:47:57,191.59,191.59,1,1.0000000000000002,60s,131.70000000000002
2022-04-13,2022-04-13 11:32:37,2022-04-13 06:30:12,197.17,193.67,3,1.0166666666666668,180s,302.4166666666667
2022-04-15,2022-04-15 23:59:43,2022-04-15 21:27:13,196.57,196.38,2,1.0083333333333335,120s,152.5
2022-04-16,2022-04-16 15:12:33,2022-04-16 14:44:48,184.42,184.42,1,1.0166666666666668,60s,27.75
2022-04-20,2022-04-20 23:59:54,2022-04-20 20:28:04,194.53,193.91,2,1.0,120s,211.83333333333334
2022-04-22,2022-04-22 23:59:31,2022-04-22 21:14:01,181.54,181.54,1,1.0000000000000002,60s,165.5
2022-04-23,2022-04-23 23:58:06,2022-04-23 23:45:02,193.02,191.37,4,0.9916666666666669,240s,13.066666666666666
2022-04-24,2022-04-24 23:59:14,2022-04-24 21:49:40,197.92,195.15,3,0.9666666666666668,180s,129.5666666666667
2022-04-25,2022-04-25 23:58:38,2022-04-25 19:22:42,197.66,193.59,3,1.0000000000000002,180s,275.93333333333334
2022-04-27,2022-04-27 16:57:20,2022-04-27 10:38:07,197.3,188.44,2,1.0083333333333335,120s,379.21666666666664
2022-04-18,2022-04-18 23:59:18,2022-04-18 19:04:19,197.95,186.6,123,1.0000000000000002,7380s,294.98333333333335
2022-04-19,2022-04-19 23:59:14,2022-04-19 22:17:51,197.99,68.62,94,1.0000000000000002,5640s,101.38333333333334
2022-04-20,2022-04-20 13:29:21,2022-04-20 13:15:18,197.89,189.24,18,1.0000000000000002,1080s,14.05
2022-04-18,2022-04-18 23:59:14,2022-04-18 18:46:50,198.0,157.83,217,1.0000000000000002,13020s,312.4
2022-04-19,2022-04-19 23:59:49,2022-04-19 22:52:30,198.0,170.3,248,1.0000000000000002,14880s,67.31666666666668
2022-04-20,2022-04-20 23:59:07,2022-04-20 22:43:50,197.99,181.7,228,1.0000000000000002,13680s,75.28333333333333
2022-04-21,2022-04-21 23:59:17,2022-04-21 23:49:13,197.94,181.13,126,1.0000000000000002,7560s,10.066666666666666
2022-04-22,2022-04-22 23:59:17,2022-04-22 23:28:04,197.97,183.46,206,48.708333333333336,12360s,31.216666666666672
2022-04-23,2022-04-23 23:59:33,2022-04-23 23:44:28,197.99,174.45,519,1.0000000000000002,31140s,15.083333333333334
2022-04-24,2022-04-24 23:59:36,2022-04-24 23:59:36,197.99,180.89,515,1.0000000000000002,30900s,0.0
2022-04-25,2022-04-25 23:59:30,2022-04-25 23:53:28,197.98,176.94,458,1.0000000000000002,27480s,6.033333333333333
2022-04-26,2022-04-26 23:59:10,2022-04-26 23:56:10,197.98,175.74,406,1.0000000000000002,24360s,3.0
2022-04-27,2022-04-27 16:57:32,2022-04-27 16:57:32,198.0,174.43,148,1.0000000000000002,8880s,0.0
2022-04-19,2022-04-19 23:59:29,2022-04-19 22:17:04,197.93,179.21,84,1.0000000000000002,5040s,102.41666666666667
2022-04-20,2022-04-20 23:59:21,2022-04-20 22:22:56,198.0,160.63,196,1.0000000000000002,11760s,96.41666666666667
2022-04-21,2022-04-21 23:59:26,2022-04-21 22:29:06,197.98,163.94,250,1.0000000000000002,15000s,90.33333333333333
2022-04-22,2022-04-22 23:59:27,2022-04-22 20:55:45,197.71,176.91,78,1.0166666666666668,4680s,183.7
2022-04-23,2022-04-23 23:59:39,2022-04-23 23:55:38,197.99,140.44,351,1.0000000000000002,21060s,4.0166666666666675
2022-04-24,2022-04-24 23:59:52,2022-04-24 23:53:51,198.0,143.3,630,1.0000000000000002,37800s,6.016666666666667
2022-04-25,2022-04-25 23:59:32,2022-04-25 23:59:32,197.98,160.23,390,1.0000000000000002,23400s,0.0
2022-04-26,2022-04-26 23:59:28,2022-04-26 23:56:28,197.98,144.08,467,1.0000000000000002,28020s,3.0
2022-04-27,2022-04-27 16:58:02,2022-04-27 16:11:51,198.0,183.24,102,1.0000000000000002,6120s,46.18333333333333
2022-04-19,2022-04-19 23:59:53,2022-04-19 23:53:50,198.0,181.69,180,1.0000000000000002,10800s,6.05
2022-04-20,2022-04-20 23:59:51,2022-04-20 23:59:51,198.0,175.42,631,1.0000000000000002,37860s,0.0
2022-04-21,2022-04-21 23:59:32,2022-04-21 23:48:30,198.0,169.73,627,1.0000000000000002,37620s,11.033333333333333
2022-04-22,2022-04-22 23:59:30,2022-04-22 23:58:30,198.0,152.18,432,20.066666666666666,25920s,1.0000000000000002
2022-04-23,2022-04-23 23:59:44,2022-04-23 23:59:44,197.94,119.4,764,1.0000000000000002,45840s,0.0
2022-04-24,2022-04-24 23:59:04,2022-04-24 23:59:04,198.0,161.3,715,1.0000000000000002,42900s,0.0
2022-04-25,2022-04-25 23:59:50,2022-04-25 23:59:50,197.99,163.23,1096,1.0000000000000002,65760s,0.0
2022-04-26,2022-04-26 23:59:11,2022-04-26 23:59:11,198.0,152.06,1069,1.0000000000000002,64140s,0.0
2022-04-27,2022-04-27 16:58:27,2022-04-27 16:58:27,197.94,176.39,698,1.0000000000000002,41880s,0.0
2022-04-20,2022-04-20 23:59:12,2022-04-20 21:26:31,197.77,194.65,3,1.0000000000000002,180s,152.68333333333334
2022-04-24,2022-04-24 23:59:48,2022-04-24 19:56:56,177.46,62.49,22,1.0000000000000002,1320s,242.86666666666667
2022-04-20,2022-04-20 23:59:32,2022-04-20 16:23:45,197.86,187.1,32,1.0000000000000002,1920s,455.78333333333336
2022-04-21,2022-04-21 23:59:07,2022-04-21 16:00:58,197.92,169.85,63,1.0000000000000002,3780s,478.15
2022-04-22,2022-04-22 23:59:00,2022-04-22 13:54:36,197.86,179.5,45,1.0000000000000002,2700s,604.4
